student_firstname,student_lastname,student_middlename,student_address,birthdate,birthplace,student_phonenumber,studenttype,sex,yearstarted,gradestarted,yearexpelled,yeardroppedout,yeargraduated,schoolfrom,schoolto,parent_firstname,parent_lastname,parent_address,econtact_firstname,econtact_lastname,econtact_address,econtact_phonenumber
Godiva,Fragino,Lovatt,5 3rd Lane,8/20/2002,Acobambilla,(642) 5246399,Undergraduate,Female,1984,1st grade,2005,0,2005,,,Sharl,Fragino,5 3rd Lane,Channa,Lightbown,03 Cottonwood Way,182-258-1821
Tracey,Ida,Snalom,3 Northview Hill,12/15/1999,Mugan,(882) 2156876,Graduate,Female,2005,1st grade,1995,0,2008,,,Roobbie,Ida,3 Northview Hill,Tansy,Grundell,9606 Twin Pines Crossing,125-153-5959
Julianna,Paulsen,Tovey,6 Declaration Alley,5/19/2011,Labrador City,(855) 8327422,Graduate,Female,2006,1st grade,2006,0,2001,University of Santo Tomas,Ateneo de Manila University,Alica,Paulsen,6 Declaration Alley,Norrie,Frick,7 Mitchell Way,566-563-6152
Jazmin,Girsch,Willmetts,77159 Loomis Trail,9/12/2008,Carrazeda de Ansiﾃ｣es,(165) 4869564,Graduate,Female,2007,1st grade,2010,0,1998,University of the Philippines,Ateneo de Manila University,Nanette,Girsch,77159 Loomis Trail,Alia,Kassman,768 Aberg Point,115-421-0982
Cleveland,Foden,McEllen,14025 Rieder Crossing,3/2/2014,Petropavlivka,(769) 9694969,Graduate,Male,1990,1st grade,2003,0,1993,,,Luke,Foden,14025 Rieder Crossing,Dirk,Chalker,85575 Dunning Crossing,259-708-6371
Moise,Szymanzyk,Hordell,61 Ramsey Road,11/16/2011,Babah Rot,(190) 4366053,Graduate,Male,2010,1st grade,2004,0,1995,,,Andrej,Szymanzyk,61 Ramsey Road,Skipp,Cuttles,52025 Melody Crossing,473-188-0629
Yulma,Jahns,Andrelli,9309 Lakewood Parkway,11/14/2004,Yunga,(309) 4688432,Graduate,Male,2006,1st grade,1985,2011,2007,,,Beltran,Jahns,9309 Lakewood Parkway,Cirillo,Fido,4579 Raven Terrace,978-275-8335
Waylon,Pavy,Casterou,37901 Mendota Lane,4/9/1994,Cﾃｴ Tﾃｴ,(485) 9931051,Graduate,Male,1995,1st grade,1985,0,2003,,,Roldan,Pavy,37901 Mendota Lane,Sky,Ingleton,1544 Ronald Regan Plaza,724-870-0068
Florian,Mobbs,Pavkovic,600 Lillian Terrace,1/20/1997,Pandakan,(501) 5758105,Undergraduate,Male,1988,1st grade,1995,0,1996,,,Niki,Mobbs,600 Lillian Terrace,Ely,Bowne,02 Bluejay Point,702-369-0572
Gerda,Risdale,Hegg,4 Moose Drive,10/13/2011,Tartaro,(510) 8484586,Graduate,Female,1983,1st grade,1997,1995,2007,,,Auroora,Risdale,4 Moose Drive,Jemimah,McMechan,4 Talmadge Terrace,211-509-4056
Terra,Andrejevic,Dengate,6474 Magdeline Pass,8/19/1998,Orkney,(863) 9877852,Graduate,Female,2006,1st grade,2002,0,1988,,,Millicent,Andrejevic,6474 Magdeline Pass,Clemmie,Vidineev,27 Scoville Street,103-593-5292
Robbi,Biaggiotti,Schroder,99 Brickson Park Point,9/22/2004,Borzna,(610) 6799101,Undergraduate,Female,2009,1st grade,2000,0,2005,,,Prisca,Biaggiotti,99 Brickson Park Point,Kaila,Sloper,549 Springs Alley,533-379-6066
Riordan,Hallaways,Weedall,69 Maple Hill,6/6/1997,Congas,(125) 4657979,Graduate,Male,2005,1st grade,2004,0,1987,,,Frannie,Hallaways,69 Maple Hill,Daryle,Sleeny,1 Memorial Center,672-482-3784
Helenelizabeth,Jardin,Gush,2 Loftsgordon Lane,8/8/2000,Mogi Guaﾃｧu,(586) 3337805,Graduate,Female,1992,1st grade,1993,0,2009,,,Tildi,Jardin,2 Loftsgordon Lane,Cele,Brideoke,1730 Garrison Lane,265-808-2925
Valeda,Kelsow,Isaacs,05 Park Meadow Circle,1/10/1997,Mbale,(384) 9857200,Undergraduate,Female,2012,1st grade,2005,0,1998,,,Hannah,Kelsow,05 Park Meadow Circle,Melodie,Pietron,8 Tennyson Avenue,596-359-5716
Codee,Loudiane,Lode,734 Daystar Road,6/1/1995,Prado,(848) 1441727,Undergraduate,Female,2008,1st grade,2008,0,1999,,,Flore,Loudiane,734 Daystar Road,Stafani,Oley,36 Ramsey Lane,472-307-1658
Henri,Regitz,Tippin,82190 Quincy Point,8/1/2004,Zel・・va,(334) 1161382,Undergraduate,Male,2005,1st grade,1998,0,1992,,,Barn,Regitz,82190 Quincy Point,Demetrius,Perham,378 Ilene Court,992-524-1406
Valli,Dyde,Hawkeswood,3250 Bayside Alley,9/12/2013,Shilovo,(399) 1578332,Undergraduate,Female,2010,1st grade,2010,2011,2011,,,Demetra,Dyde,3250 Bayside Alley,Roxie,Lenihan,7569 Forster Hill,835-708-8416
Vanya,Springthorpe,Trimby,3 Alpine Way,10/31/1994,Buena Esperanza,(267) 9861544,Undergraduate,Male,2005,1st grade,2001,0,2003,,,Pauly,Springthorpe,3 Alpine Way,Killie,Sones,5627 Porter Junction,192-299-3154
Celestina,O'Carrol,Inns,8906 Hanover Street,1/31/2002,Radzanﾃｳw,(942) 8829389,Undergraduate,Female,2006,1st grade,2010,0,1988,De La Salle University,Ateneo de Manila University,Anthia,O'Carrol,8906 Hanover Street,Di,Whittall,8227 Buhler Parkway,212-746-3320
Jimmy,Bendson,Devers,4514 Kipling Lane,10/20/1998,Brooklyn,(718) 9707664,Undergraduate,Male,2009,1st grade,1993,0,1994,University of the Philippines,Ateneo de Manila University,Herschel,Bendson,4514 Kipling Lane,Roddie,Charette,81 Ridgeview Avenue,170-812-0885
Lauren,Bruggeman,Hatherleigh,27118 Myrtle Terrace,1/14/1999,Al Ma・ｸｩallah al Kubrﾃ｡,(982) 1692114,Undergraduate,Male,1991,1st grade,1993,0,2011,,,Teodorico,Bruggeman,27118 Myrtle Terrace,Etienne,Wyard,743 Meadow Ridge Way,504-454-2318
Beau,Bloom,Silverthorn,4375 Northview Drive,12/23/2001,Pitangueiras,(352) 3183730,Graduate,Male,2010,1st grade,1995,0,1989,,,Clint,Bloom,4375 Northview Drive,Kerwinn,Bouldon,1 Cardinal Trail,482-964-0667
Rube,Boeter,Bunt,15 Killdeer Road,10/31/2003,Starychi,(742) 8235938,Undergraduate,Male,2010,1st grade,2001,0,1998,,,Reidar,Boeter,15 Killdeer Road,Consalve,Pescod,4651 Caliangt Way,918-962-5136
Annette,Stepto,Marchello,4798 Mendota Avenue,12/10/2013,Novﾃ｡ Paka,(272) 7694989,Graduate,Female,1999,1st grade,2002,0,2006,University of the Philippines,Ateneo de Manila University,Lydie,Stepto,4798 Mendota Avenue,Mureil,Newbegin,68812 Blue Bill Park Point,580-899-3661
Ruttger,Laxe,Kirkland,7 Becker Trail,12/24/2014,Sidayu,(197) 3356258,Undergraduate,Male,2009,1st grade,2008,0,2009,University of Santo Tomas,Ateneo de Manila University,Stanislaus,Laxe,7 Becker Trail,Tades,Darnbrook,2 6th Center,640-903-2170
Herculie,Lesly,Ratledge,48220 Manitowish Circle,7/5/2004,Atlanta,(404) 9081097,Graduate,Male,2009,1st grade,1997,0,1986,,,Emmanuel,Lesly,48220 Manitowish Circle,Steve,Pickwell,916 Prentice Trail,467-107-7483
Morgana,Bartoli,Mc Caghan,025 Onsgard Hill,7/22/2012,Sula,(489) 5266420,Undergraduate,Female,2001,1st grade,1989,0,1989,,,Korry,Bartoli,025 Onsgard Hill,Sibella,Dives,17785 Hooker Circle,846-563-3954
Dorri,Mayall,Reinard,37926 Upham Terrace,4/6/2003,Preko,(928) 6653269,Graduate,Female,2005,1st grade,1998,0,1992,University of the Philippines,Ateneo de Manila University,Stevena,Mayall,37926 Upham Terrace,Francine,Putton,728 Karstens Hill,362-524-1951
Grete,Madgin,Ortsmann,156 Fairview Center,7/12/2004,Yershov,(530) 6350395,Graduate,Female,2009,1st grade,2012,0,1993,,,Wally,Madgin,156 Fairview Center,Adena,Gershom,7 Melby Crossing,957-803-1100
Giordano,Swynfen,Cratere,280 Cherokee Hill,1/20/2006,Kuybyshevskiy Zaton,(396) 4651794,Graduate,Male,2002,1st grade,1993,0,1998,,,Ferguson,Swynfen,280 Cherokee Hill,Lon,Halgarth,3 Fallview Road,955-307-9666
Willdon,Duck,Mould,567 Morning Trail,11/12/1996,Pasirpengarayan,(302) 5722399,Graduate,Male,2005,1st grade,1994,0,1997,,,Levi,Duck,567 Morning Trail,Lemar,Wye,074 Sunbrook Parkway,196-256-8903
Fletch,Sewards,Mulvany,15541 Norway Maple Pass,7/29/2008,Pudong,(193) 2990655,Undergraduate,Male,2009,1st grade,1969,0,2005,,,Nicholas,Sewards,15541 Norway Maple Pass,Abbot,Marielle,2 Gale Hill,875-742-6881
Alica,Bussen,Blanch,1 Superior Court,12/10/2009,Carlsbad,(760) 3764054,Undergraduate,Female,1999,1st grade,2004,0,2009,University of the Philippines,Ateneo de Manila University,Alicea,Bussen,1 Superior Court,Evvy,Maciak,8100 Morrow Crossing,144-359-9021
Hanny,Fawdrie,Calladine,0195 Morning Court,9/13/2000,Chiscas,(883) 7595285,Graduate,Female,2007,1st grade,1991,0,1992,,,Marlie,Fawdrie,0195 Morning Court,Donny,Mangenot,4 Warner Park,751-698-2399
Malva,Ewbanks,Redon,63715 Monument Terrace,2/1/2006,Narganﾃ｡,(470) 6686053,Undergraduate,Female,2001,1st grade,2009,0,1992,,,Jackquelin,Ewbanks,63715 Monument Terrace,Alexandra,Lombard,5 Corben Road,777-281-5145
Archibold,Prine,Syde,77103 Moland Parkway,10/2/1997,Beopwon,(350) 1603284,Undergraduate,Male,2009,1st grade,1983,0,1963,,,Birk,Prine,77103 Moland Parkway,Dur,Renforth,21264 Chinook Lane,754-944-3812
Kessiah,Merwe,McMichael,0 Eastlawn Alley,7/19/2005,Ulster Spring,(403) 5326082,Undergraduate,Female,1992,1st grade,2000,0,1989,,,Teddi,Merwe,0 Eastlawn Alley,Lilah,Kitchenman,35 Bay Road,446-413-5350
Bobbe,Beston,Gatecliffe,67315 Gulseth Junction,12/28/2011,Guxian,(163) 9336462,Undergraduate,Female,1990,1st grade,1993,0,1984,,,Arluene,Beston,67315 Gulseth Junction,Lindsey,Mattioli,7421 Lillian Parkway,132-748-1800
Noach,Lisciandro,Sivills,8254 Schiller Crossing,5/17/2005,Nanzhao,(930) 7513092,Undergraduate,Male,1999,1st grade,2004,0,1995,University of Santo Tomas,Ateneo de Manila University,Gar,Lisciandro,8254 Schiller Crossing,Franchot,Lilleyman,50227 Mallory Road,156-931-6045
Calypso,Le Blond,Alkins,88486 Warner Terrace,11/28/1996,Eshan,(858) 1094720,Graduate,Female,2007,1st grade,2011,2009,2008,,,Linn,Le Blond,88486 Warner Terrace,Kayla,Goscomb,2338 Scofield Road,279-982-8472
Shirley,Baskwell,Hallwood,0 Mayfield Center,1/23/2007,Jiqu,(228) 1833352,Undergraduate,Female,2004,1st grade,1993,0,1996,,,Merlina,Baskwell,0 Mayfield Center,Naoma,Edess,18651 Oak Valley Center,816-672-5003
Aubine,Rennick,Yeoland,741 Hauk Avenue,7/6/2003,Vukojevci,(541) 8005272,Graduate,Female,2011,1st grade,1990,0,2008,De La Salle University,Ateneo de Manila University,Maye,Rennick,741 Hauk Avenue,Sophi,Melody,41 Acker Center,877-552-8350
Barbey,Imason,Melloy,39 Weeping Birch Parkway,3/29/2013,Wﾄ・rﾄ・h,(244) 4878258,Graduate,Female,2001,1st grade,1995,0,1999,,,Alexandra,Imason,39 Weeping Birch Parkway,Jackelyn,Luchetti,22798 Karstens Park,365-568-7672
Cortie,Ongin,Attenburrow,65 Rutledge Court,3/25/2000,Coripata,(736) 1391946,Graduate,Male,2000,1st grade,2002,0,1995,,,Vernor,Ongin,65 Rutledge Court,Reginald,Matelaitis,17284 Utah Plaza,378-858-6329
Haroun,Guidera,Lee,1 Oneill Center,8/4/2004,Jiangshi,(288) 6432910,Graduate,Male,2008,1st grade,2005,2002,1995,De La Salle University,Ateneo de Manila University,Ozzy,Guidera,1 Oneill Center,Budd,Belone,2 Clemons Parkway,964-525-5582
Charin,Humbey,Emney,98974 Macpherson Lane,10/31/1997,Vikbolandet,(784) 4058343,Undergraduate,Female,2012,1st grade,1999,0,2012,,,Ethelda,Humbey,98974 Macpherson Lane,Blythe,Fadden,2271 Harbort Hill,831-263-8474
Robbin,Faherty,Oakwood,30 8th Trail,11/30/1997,Llazicﾃｫ,(521) 1940403,Graduate,Female,1996,1st grade,1988,0,1988,,,Edyth,Faherty,30 8th Trail,Ileane,Streak,8 Carey Plaza,930-116-9762
Cordi,Collip,Rowatt,62434 Sutherland Pass,7/21/2002,Tarsouat,(415) 7382937,Undergraduate,Female,1991,1st grade,1986,0,1995,,,Rosie,Collip,62434 Sutherland Pass,Rebecca,Mattocks,2587 Golf View Way,367-779-9663
Adolph,Landall,Christall,19521 Farwell Lane,12/2/2011,Camlachie,(712) 6568841,Undergraduate,Male,1985,1st grade,2010,0,2012,,,Baird,Landall,19521 Farwell Lane,Garv,Ibotson,78 Blackbird Hill,238-792-7501
Cybil,Plank,Jillings,445 Nobel Plaza,6/23/1994,Kalmar,(446) 5019326,Undergraduate,Female,2005,1st grade,2001,0,1993,,,Olympe,Plank,445 Nobel Plaza,Kiri,Blissitt,3128 Judy Terrace,345-811-7218
Rafa,Beever,Higounet,23612 Dapin Crossing,3/14/2013,Barinitas,(851) 2965165,Undergraduate,Female,1994,1st grade,2000,0,1996,University of the Philippines,Ateneo de Manila University,Tressa,Beever,23612 Dapin Crossing,Willie,Figiovanni,995 Drewry Trail,984-401-1092
Rollo,Grane,Polotti,209 Elgar Avenue,11/14/1994,Limoges,(308) 8960731,Undergraduate,Male,2005,1st grade,1995,0,2007,De La Salle University,Ateneo de Manila University,Cecilius,Grane,209 Elgar Avenue,Denny,Knatt,46 Stuart Center,248-999-4340
Gunther,Gabbitas,Webby,38648 Cordelia Hill,2/10/2000,Helsingborg,(444) 5261922,Undergraduate,Male,2004,1st grade,2008,0,1993,,,Pietro,Gabbitas,38648 Cordelia Hill,Bryce,Winborn,05007 Pankratz Terrace,458-215-8219
Renae,Rothermel,Laweles,539 Bunting Trail,12/14/2011,Palanas,(812) 7648086,Undergraduate,Female,1993,1st grade,2001,0,2003,,,Sophie,Rothermel,539 Bunting Trail,Phyllys,Josefsson,2 Kensington Pass,230-233-4225
Peggy,Pawson,Lakey,73 Kedzie Trail,12/30/1995,Ricardo Flores Magon,(766) 6125357,Graduate,Female,1999,1st grade,2006,1991,2004,,,Lorianna,Pawson,73 Kedzie Trail,Prudence,Fantone,6182 Lighthouse Bay Drive,493-805-2495
Sally,Mercy,Casewell,24 Butternut Center,11/25/2003,Saskylakh,(306) 3999276,Undergraduate,Female,2007,1st grade,1997,0,2011,,,Iolande,Mercy,24 Butternut Center,Merrili,Chuter,4 Lien Drive,536-313-8709
Elaina,Robus,Mea,21 Superior Center,6/23/2010,Hulitu,(911) 7045591,Undergraduate,Female,2002,1st grade,2012,0,2008,,,Eryn,Robus,21 Superior Center,Portia,Eltune,65039 Sage Parkway,540-386-4306
Sissy,Wolfit,Conochie,04 Susan Place,11/27/2008,Feondari,(595) 9702747,Graduate,Female,2000,1st grade,2009,0,2000,,,Gustie,Wolfit,04 Susan Place,Wendeline,Barwack,30994 Forster Alley,140-821-0067
Mina,Duddle,Dearl,7 Michigan Place,12/9/2003,Sangzhen,(765) 7446452,Undergraduate,Female,1997,1st grade,2001,0,2005,,,Veda,Duddle,7 Michigan Place,Olivie,Castiglioni,403 Manley Place,717-244-3579
Rosita,Ellingford,Toll,549 Dorton Trail,11/26/2014,Sredno Konjare,(611) 4177079,Undergraduate,Female,1997,1st grade,2009,0,1993,,,Noelle,Ellingford,549 Dorton Trail,Bobbie,Bellin,17 Golf Course Terrace,303-683-2657
Gil,Scoon,Kenneway,409 Rusk Place,1/9/2007,Praingkareha,(604) 4621543,Graduate,Male,2009,1st grade,1993,0,1997,,,Saxon,Scoon,409 Rusk Place,Niven,Starrs,31 Grasskamp Trail,237-769-4540
Cad,Meineck,Kleis,722 Colorado Way,11/13/2007,Borek Wielkopolski,(298) 8745043,Undergraduate,Male,2000,1st grade,1992,2010,1997,,,Robert,Meineck,722 Colorado Way,Raddy,Reckus,22382 Mosinee Park,931-741-2929
Tasia,Hapgood,Spriddle,67955 Dorton Lane,7/29/2004,Monkstown,(535) 6715826,Undergraduate,Female,2004,1st grade,2008,0,1994,,,Eileen,Hapgood,67955 Dorton Lane,Linette,Bater,30 Lunder Pass,825-530-3384
Tabatha,Mattersley,Livzey,52601 Parkside Street,5/24/2012,Mtwara,(191) 2936486,Undergraduate,Female,2008,1st grade,2007,1997,2011,,,Beverley,Mattersley,52601 Parkside Street,Jaclin,Morratt,458 Kinsman Court,116-442-2375
Willdon,Hubble,Burkett,1570 Butternut Plaza,3/18/2011,Haikou,(954) 7324176,Undergraduate,Male,2000,1st grade,1989,1986,2004,,,Westbrooke,Hubble,1570 Butternut Plaza,Rudie,Weems,5899 Maple Pass,683-141-0071
Claudetta,Panter,Schild,90 Burning Wood Point,8/30/2009,Lipljan,(388) 4460198,Graduate,Female,1992,1st grade,1998,0,2008,University of the Philippines,Ateneo de Manila University,Laurena,Panter,90 Burning Wood Point,Ashlie,Curds,9 Oxford Trail,921-864-3793
Carlie,Hedditeh,Losebie,032 Gulseth Junction,2/22/2011,Puerto Rico,(876) 2153527,Graduate,Female,2012,1st grade,1993,0,1999,,,Dori,Hedditeh,032 Gulseth Junction,Mia,Elcum,4072 Merrick Court,718-119-3828
Ford,Tidman,Blakey,0 Kensington Trail,3/8/1994,Gaoping,(251) 6824409,Undergraduate,Male,2002,1st grade,2009,0,2012,,,Enrique,Tidman,0 Kensington Trail,Zechariah,Wrathmall,238 Almo Trail,278-697-8897
Cherianne,Mant,Battman,66 Sundown Avenue,11/2/1994,Wufeng,(596) 4986585,Graduate,Female,2004,1st grade,2004,0,2002,De La Salle University,Ateneo de Manila University,Elva,Mant,66 Sundown Avenue,Kirsten,Cheng,8 Express Way,340-338-4796
Ginni,Duckett,Romi,8535 Jenifer Pass,8/31/2014,Opi,(371) 1004519,Graduate,Female,1999,1st grade,2007,2011,1996,University of the Philippines,Ateneo de Manila University,Agnesse,Duckett,8535 Jenifer Pass,Nanny,Godard,61771 Logan Street,381-725-5990
Leodora,Cyphus,Leall,7 Iowa Junction,3/30/1999,Wanghu,(583) 3783002,Graduate,Female,2009,1st grade,2000,0,1983,,,Carolina,Cyphus,7 Iowa Junction,Allyce,Arthey,155 Division Hill,900-259-4084
Bernette,Dotson,Quiddinton,1795 Shelley Park,6/3/2003,Bandung,(957) 7426419,Graduate,Female,1989,1st grade,1995,0,2011,,,Rina,Dotson,1795 Shelley Park,Lanny,Rubinovitch,7 Helena Court,113-887-2340
Penrod,Chese,Rookesby,441 Florence Plaza,5/3/2011,Pitogo,(498) 2221280,Undergraduate,Male,2006,1st grade,1988,0,2008,University of the Philippines,Ateneo de Manila University,Ancell,Chese,441 Florence Plaza,Christie,Raffeorty,83 Kinsman Avenue,656-168-9864
Matthiew,Jzhakov,Simyson,325 Mallory Junction,12/17/2003,Vﾃ､xjﾃｶ,(273) 4509849,Undergraduate,Male,2007,1st grade,1998,0,2010,University of Santo Tomas,Ateneo de Manila University,Gearalt,Jzhakov,325 Mallory Junction,Rickie,Gapp,64852 Hermina Street,939-671-2282
Anjela,Mc Mechan,Sebright,12065 Rusk Center,7/13/2013,Dugulubgey,(494) 9570496,Graduate,Female,1994,1st grade,2007,0,2002,,,Delinda,Mc Mechan,12065 Rusk Center,Ronnie,Carillo,15 Moland Street,908-866-8649
Moselle,Sogg,Jennison,60604 Russell Road,10/10/2012,Seydi,(213) 3884051,Undergraduate,Female,2006,1st grade,2007,0,2012,,,Francyne,Sogg,60604 Russell Road,Deloria,Eskriett,68 Memorial Hill,546-446-7194
Xylina,Keepe,O'Looney,55 Maple Wood Hill,3/28/2012,Balagon,(816) 3657912,Undergraduate,Female,2006,1st grade,2008,2011,1998,,,Lacey,Keepe,55 Maple Wood Hill,Helga,Keetley,54417 Farmco Way,659-114-7588
Benedicta,Morland,Garrity,51051 Northfield Junction,8/12/1995,ﾅ・askarzew,(378) 3370277,Graduate,Female,2003,1st grade,1998,0,1997,,,Grethel,Morland,51051 Northfield Junction,Gretta,Feavearyear,3 Del Mar Alley,804-464-8356
Jesse,Gianelli,Wasmuth,15 Hanson Street,1/18/2008,Milton,(359) 5904527,Graduate,Female,2007,1st grade,1988,1998,2008,,,Randy,Gianelli,15 Hanson Street,Cordi,Benting,3954 Petterle Lane,823-318-0774
Joe,Adamo,Learoid,9 Linden Center,8/2/1999,Bouarouss,(222) 8565669,Graduate,Male,2007,1st grade,2000,0,2012,,,Clark,Adamo,9 Linden Center,Jeno,Poleykett,00 Golf Course Center,906-510-6776
Bil,Noto,Beckham,05 Garrison Lane,4/26/1996,La Paz,(487) 5711658,Graduate,Male,1984,1st grade,1995,0,1995,,,Bryce,Noto,05 Garrison Lane,Rudolfo,Heater,2 Annamark Alley,118-301-8548
Terrance,MacFarlane,Lambarton,436 Victoria Lane,11/22/1996,Vigia,(995) 6475283,Undergraduate,Male,2005,1st grade,1992,0,1986,,,Dominik,MacFarlane,436 Victoria Lane,Yorgo,Bruff,90 Debra Circle,340-588-1012
Brandise,Aleksankov,Halfhead,8600 Oak Way,4/5/2003,Breia,(531) 3849986,Graduate,Female,2011,1st grade,2008,0,2008,,,Adelina,Aleksankov,8600 Oak Way,Anastasia,Rudeyeard,44 Center Terrace,800-948-5053
Carlotta,Engley,Laven,7450 Graedel Way,2/20/1996,Beﾅ・ﾅｼec,(822) 4846578,Undergraduate,Female,1998,1st grade,2010,0,2003,,,Lainey,Engley,7450 Graedel Way,Aprilette,Peyton,499 Little Fleur Terrace,879-252-9661
Merell,Vanyushkin,Wark,80 Fallview Drive,2/15/2003,Kanuma,(572) 5237531,Undergraduate,Male,2007,1st grade,1992,0,1990,,,Gifford,Vanyushkin,80 Fallview Drive,Lorrie,Gathercoal,976 Talisman Circle,617-345-2758
